Dex,MoveName,Method
63,"Flash","HM05"
359,"Cut","HM01"
359,"Strength","HM04"
359,"Flash","HM05"
359,"Rock Smash","HM06"
142,"Fly","HM02"
142,"Strength","HM04"
142,"Rock Smash","HM06"
306,"Cut","HM01"
306,"Surf","HM03"
306,"Strength","HM04"
306,"Rock Smash","HM06"
190,"Cut","HM01"
190,"Strength","HM04"
190,"Rock Smash","HM06"
65,"Flash","HM05"
334,"Fly","HM02"
334,"Rock Smash","HM06"
181,"Strength","HM04"
181,"Flash","HM05"
181,"Rock Smash","HM06"
347,"Cut","HM01"
347,"Rock Smash","HM06"
24,"Strength","HM04"
59,"Strength","HM04"
59,"Rock Smash","HM06"
168,"Flash","HM05"
348,"Cut","HM01"
348,"Strength","HM04"
348,"Rock Smash","HM06"
304,"Cut","HM01"
304,"Strength","HM04"
304,"Rock Smash","HM06"
144,"Fly","HM02"
144,"Rock Smash","HM06"
184,"Surf","HM03"
184,"Strength","HM04"
184,"Rock Smash","HM06"
184,"Waterfall","HM07"
184,"Dive","HM08"
298,"Surf","HM03"
298,"Waterfall","HM07"
371,"Cut","HM01"
371,"Strength","HM04"
371,"Rock Smash","HM06"
343,"Flash","HM05"
354,"Flash","HM05"
339,"Surf","HM03"
339,"Waterfall","HM07"
339,"Dive","HM08"
153,"Cut","HM01"
153,"Strength","HM04"
153,"Flash","HM05"
153,"Rock Smash","HM06"
267,"Flash","HM05"
15,"Cut","HM01"
15,"Rock Smash","HM06"
182,"Cut","HM01"
182,"Flash","HM05"
69,"Cut","HM01"
69,"Flash","HM05"
9,"Surf","HM03"
9,"Strength","HM04"
9,"Rock Smash","HM06"
9,"Waterfall","HM07"
9,"Dive","HM08"
257,"Cut","HM01"
257,"Strength","HM04"
257,"Rock Smash","HM06"
242,"Strength","HM04"
242,"Flash","HM05"
242,"Rock Smash","HM06"
286,"Cut","HM01"
286,"Strength","HM04"
286,"Flash","HM05"
286,"Rock Smash","HM06"
1,"Cut","HM01"
1,"Strength","HM04"
1,"Flash","HM05"
1,"Rock Smash","HM06"
12,"Flash","HM05"
331,"Cut","HM01"
331,"Flash","HM05"
332,"Cut","HM01"
332,"Strength","HM04"
332,"Flash","HM05"
323,"Strength","HM04"
323,"Rock Smash","HM06"
318,"Surf","HM03"
