MoveName,Accuracy,Power,PP,Status,TypeName
"Pound",100,40,35,0,"Normal"
"Karate Chop",100,50,25,0,"Fighting"
"Double Slap",85,15,10,0,"Normal"
"Comet Punch",85,18,15,0,"Normal"
"Mega Punch",85,80,20,0,"Normal"
"Pay Day",100,40,20,0,"Normal"
"Fire Punch",100,75,15,0,"Fire"
"Ice Punch",100,75,15,0,"Ice"
"Thunder Punch",100,75,15,0,"Electric"
"Scratch",100,40,35,0,"Normal"
"Vise Grip",100,55,30,0,"Normal"
"Guillotine",30,0,5,1,"Normal"
"Razor Wind",100,80,10,0,"Normal"
"Swords Dance",NULL,0,30,1,"Normal"
"Cut",95,50,30,0,"Normal"
"Gust",100,40,35,0,"Flying"
"Wing Attack",100,60,35,0,"Flying"
"Whirlwind",100,0,20,1,"Normal"
"Fly",95,70,15,0,"Flying"
"Bind",75,15,20,0,"Normal"
"Slam",75,80,20,0,"Normal"
"Vine Whip",100,35,10,0,"Grass"
"Stomp",100,65,20,0,"Normal"
"Double Kick",100,30,30,0,"Fighting"
"Mega Kick",75,120,5,0,"Normal"
"Jump Kick",95,70,25,0,"Fighting"
"Rolling Kick",85,60,15,0,"Fighting"
"Sand Attack",100,0,15,1,"Ground"
"Headbutt",100,70,15,0,"Normal"
"Horn Attack",100,65,25,0,"Normal"
"Fury Attack",85,15,20,0,"Normal"
"Horn Drill",30,0,5,1,"Normal"
"Tackle",95,35,35,0,"Normal"
"Body Slam",100,85,15,0,"Normal"
"Wrap",85,15,20,0,"Normal"
"Take Down",85,90,20,0,"Normal"
"Thrash",100,90,20,0,"Normal"
"Double-Edge",100,120,15,0,"Normal"
"Tail Whip",100,0,30,1,"Normal"
"Poison Sting",100,15,35,0,"Poison"
"Twineedle",100,25,20,0,"Bug"
"Pin Missile",85,14,20,0,"Bug"
"Leer",100,0,30,1,"Normal"
"Bite",100,60,25,0,"Dark"
"Growl",100,0,40,1,"Normal"
"Roar",100,0,20,1,"Normal"
"Sing",55,0,15,1,"Normal"
"Supersonic",55,0,20,1,"Normal"
"Sonic Boom",90,0,20,0,"Normal"
"Disable",55,0,20,1,"Normal"
"Acid",100,40,30,0,"Poison"
"Ember",100,40,25,0,"Fire"
"Flamethrower",100,95,15,0,"Fire"
"Mist",NULL,0,30,1,"Ice"
"Water Gun",100,40,25,0,"Water"
"Hydro Pump",80,120,5,0,"Water"
"Surf",100,95,15,0,"Water"
"Ice Beam",100,95,10,0,"Ice"
"Blizzard",70,120,5,0,"Ice"
"Psybeam",100,65,20,0,"Psychic"
"Bubble Beam",100,65,20,0,"Water"
"Aurora Beam",100,65,20,0,"Ice"
"Hyper Beam",90,150,5,0,"Normal"
"Peck",100,35,35,0,"Flying"
"Drill Peck",100,80,20,0,"Flying"
"Submission",80,80,25,0,"Fighting"
"Low Kick",100,0,20,0,"Fighting"
"Counter",100,0,20,0,"Fighting"
"Seismic Toss",100,0,20,0,"Fighting"
"Strength",100,80,15,0,"Normal"
"Absorb",100,20,20,0,"Grass"
"Mega Drain",100,40,10,0,"Grass"
"Leech Seed",90,0,10,1,"Grass"
"Growth",NULL,0,40,1,"Normal"
"Razor Leaf",95,55,25,0,"Grass"
"Solar Beam",100,120,10,0,"Grass"
"Poison Powder",75,0,35,1,"Poison"
"Stun Spore",75,0,30,1,"Grass"
"Sleep Powder",75,0,15,1,"Grass"
"Petal Dance",100,70,20,0,"Grass"
"String Shot",95,0,40,1,"Bug"
"Dragon Rage",100,0,10,0,"Dragon"
"Fire Spin",70,15,15,0,"Fire"
"Thunder Shock",100,40,30,0,"Electric"
"Thunderbolt",100,95,15,0,"Electric"
"Thunder Wave",100,0,20,1,"Electric"
"Thunder",70,120,10,0,"Electric"
"Rock Throw",90,50,15,0,"Rock"
