NDex#,Level,Move
63,1,"Teleport"
359,1,"Scratch"
359,5,"Leer"
359,9,"Taunt"
359,13,"Quick Attack"
359,17,"Razor Wind"
359,21,"Bite"
359,26,"Swords Dance"
359,31,"Double Team"
359,36,"Slash"
359,41,"Future Sight"
359,46,"Perish Song"
142,1,"Wing Attack"
142,8,"Agility"
142,15,"Bite"
142,22,"Supersonic"
142,29,"AncientPower"
142,36,"Scary Face"
142,43,"Take Down"
142,50,"Hyper Beam"
306,1,"Tackle"
306,1,"Harden"
306,1,"Mud-Slap"
306,1,"Headbutt"
306,4,"Harden"
306,7,"Mud-Slap"
306,10,"Headbutt"
306,13,"Metal Claw"
306,17,"Iron Defense"
306,21,"Roar"
306,25,"Take Down"
306,29,"Iron Tail"
306,37,"Protect"
306,50,"Metal Sound"
306,63,"Double-Edge"
190,1,"Scratch"
190,1,"Tail Whip"
190,6,"Sand-Attack"
190,13,"Astonish"
190,18,"Baton Pass"
190,25,"Tickle"
190,31,"Fury Swipes"
190,38,"Swift"
190,43,"Screech"
190,50,"Agility"
65,1,"Teleport"
65,1,"Kinesis"
65,1,"Confusion"
65,16,"Confusion"
65,18,"Disable"
65,21,"Psybeam"
65,23,"Reflect"
65,25,"Recover"
65,30,"Future Sight"
65,33,"Calm Mind"
65,36,"Psychic"
65,43,"Trick"
334,1,"Peck"
334,1,"Growl"
334,1,"Astonish"
334,1,"Sing"
334,8,"Astonish"
334,11,"Sing"
334,18,"Fury Attack"
334,21,"Safeguard"
334,28,"Mist"
334,31,"Take Down"
334,35,"DragonBreath"
334,40,"Dragon Dance"
334,45,"Refresh"
334,54,"Perish Song"
334,59,"Sky Attack"
181,1,"Tackle"
181,1,"Growl"
181,1,"ThunderShock"
181,1,"Thunder Wave"
181,9,"ThunderShock"
181,18,"Thunder Wave"
181,27,"Cotton Spore"
181,30,"ThunderPunch"
181,42,"Light Screen"
181,57,"Thunder"
347,1,"Scratch"
347,7,"Harden"
347,13,"Mud Sport"
347,19,"Water Gun"
347,25,"Metal Claw"
347,31,"Protect"
347,37,"AncientPower"
347,43,"Fury Cutter"
347,49,"Slash"
347,55,"Rock Blast"
24,1,"Wrap"
24,1,"Leer"
24,1,"Poison Sting"
24,1,"Bite"
24,8,"Poison Sting"
24,13,"Bite"
24,20,"Glare"
24,28,"Screech"
24,38,"Acid"
24,46,"Stockpile"
24,46,"Swallow"
24,46,"Spit Up"
24,56,"Haze"
59,1,"Bite"
59,1,"Roar"
59,1,"Ember"
59,1,"Odor Sleuth"
59,49,"ExtremeSpeed"
168,1,"Poison Sting"
168,1,"String Shot"
168,1,"Scary Face"
168,1,"Constrict"
168,6,"Scary Face"
168,11,"Constrict"
168,17,"Night Shade"
168,25,"Leech Life"
168,34,"Fury Swipes"
168,43,"Spider Web"
168,53,"Agility"
168,63,"Psychic"
348,1,"Scratch"
348,1,"Harden"
348,1,"Mud Sport"
348,1,"Water Gun"
348,7,"Harden"
348,13,"Mud Sport"
348,19,"Water Gun"
348,25,"Metal Claw"
348,31,"Protect"
348,37,"AncientPower"
348,46,"Fury Cutter"
348,55,"Slash"
348,64,"Rock Blast"
304,1,"Tackle"
304,4,"Harden"
304,7,"Mud-Slap"
304,10,"Headbutt"
304,13,"Metal Claw"
304,17,"Iron Defense"
304,21,"Roar"
304,25,"Take Down"
304,29,"Iron Tail"
304,34,"Protect"
304,39,"Metal Sound"
304,44,"Double-Edge"
144,1,"Gust"
144,1,"Powder Snow"
144,13,"Mist"
144,25,"Agility"
144,37,"Mind Reader"
144,49,"Ice Beam"
144,61,"Reflect"
144,73,"Blizzard"
144,85,"Sheer Cold"
184,1,"Tackle"
184,1,"Defense Curl"
184,1,"Tail Whip"
184,1,"Water Gun"
184,3,"Defense Curl"
184,6,"Tail Whip"
184,10,"Water Gun"
184,15,"Rollout"
184,24,"BubbleBeam"
184,34,"Double-Edge"
184,45,"Rain Dance"
184,57,"Hydro Pump"
298,1,"Splash"
298,3,"Charm"
298,6,"Tail Whip"
298,10,"Bubble"
298,15,"Slam"
298,21,"Water Gun"
371,1,"Rage"
371,5,"Bite"
371,9,"Leer"
371,17,"Headbutt"
371,21,"Focus Energy"
371,25,"Ember"
371,33,"DragonBreath"
371,37,"Scary Face"
371,41,"Crunch"
371,49,"Dragon Claw"
371,53,"Double-Edge"
343,1,"Confusion"
343,3,"Harden"
343,5,"Rapid Spin"
343,7,"Mud-Slap"
343,11,"Psybeam"
343,15,"Rock Tomb"
343,19,"Selfdestruct"
343,25,"AncientPower"
343,31,"Sandstorm"
343,37,"Cosmic Power"
343,45,"Explosion"
354,1,"Knock Off"
354,1,"Screech"
354,1,"Night Shade"
354,1,"Curse"
354,8,"Screech"
354,13,"Night Shade"
354,20,"Curse"
354,25,"Spite"
354,32,"Will-O-Wisp"
354,39,"Faint Attack"
354,48,"Shadow Ball"
354,55,"Snatch"
354,64,"Grudge"
339,1,"Mud-Slap"
339,6,"Mud Sport"
339,6,"Water Sport"
339,11,"Water Gun"
339,16,"Magnitude"
339,21,"Amnesia"
339,26,"Rest"
339,26,"Snore"
339,31,"Earthquake"
339,36,"Future Sight"
339,41,"Fissure"
153,1,"Tackle"
153,1,"Growl"
153,1,"Razor Leaf"
153,1,"Reflect"
153,8,"Razor Leaf"
153,12,"Reflect"
153,15,"PoisonPowder"
153,23,"Synthesis"
153,31,"Body Slam"
153,39,"Light Screen"
153,47,"Safeguard"
153,55,"SolarBeam"
267,1,"Absorb"
267,10,"Absorb"
267,13,"Gust"
267,17,"Stun Spore"
267,20,"Morning Sun"
267,24,"Mega Drain"
