NDex#,Move
1,"Amnesia"
1,"Attract"
1,"Bide"
1,"Bind"
1,"Block"
1,"Body Slam"
1,"Bullet Seed"
1,"Charm"
1,"Curse"
1,"Cut"
1,"Defense Curl"
1,"Double-Edge"
1,"Double Team"
1,"Endure"
1,"Facade"
1,"False Swipe"
1,"Flash"
1,"Frenzy Plant"
1,"Frustration"
1,"Fury Cutter"
1,"Giga Drain"
1,"Grass Whistle"
1,"Growl"
1,"Growth"
1,"Headbutt"
1,"Helping Hand"
1,"Hidden Power"
1,"Ingrain"
1,"Knock Off"
1,"Leech Seed"
1,"Light Screen"
1,"Magical Leaf"
1,"Mega Drain"
1,"Mimic"
1,"Mud-Slap"
1,"Nature Power"
1,"Outrage"
1,"Petal Dance"
1,"Poison Powder"
1,"Protect"
1,"Rage"
1,"Razor Leaf"
1,"Razor Wind"
1,"Reflect"
1,"Rest"
1,"Return"
1,"Rock Smash"
1,"Safeguard"
1,"Secret Power"
1,"Skull Bash"
1,"Sleep Powder"
1,"Sleep Talk"
1,"Sludge"
1,"Sludge Bomb"
1,"Snore"
1,"Solar Beam"
1,"Strength"
1,"String Shot"
1,"Substitute"
1,"Sunny Day"
1,"Swagger"
1,"Sweet Scent"
1,"Swords Dance"
1,"Synthesis"
1,"Tackle"
1,"Take Down"
1,"Toxic"
1,"Vine Whip"
1,"Weather Ball"
2,"Amnesia"
2,"Attract"
2,"Bide"
2,"Bind"
2,"Body Slam"
2,"Bullet Seed"
2,"Charm"
2,"Curse"
2,"Cut"
2,"Defense Curl"
2,"Double-Edge"
2,"Double Team"
2,"Endure"
2,"Facade"
2,"False Swipe"
2,"Flash"
2,"Frustration"
2,"Fury Cutter"
2,"Giga Drain"
2,"Growl"
2,"Growth"
2,"Headbutt"
2,"Helping Hand"
2,"Hidden Power"
2,"Knock Off"
2,"Leech Seed"
2,"Light Screen"
2,"Magical Leaf"
2,"Mega Drain"
2,"Mimic"
2,"Mud-Slap"
2,"Nature Power"
2,"Outrage"
2,"Poison Powder"
2,"Protect"
2,"Rage"
2,"Razor Leaf"
2,"Reflect"
2,"Rest"
2,"Return"
2,"Rock Smash"
2,"Safeguard"
2,"Secret Power"
2,"Sleep Powder"
2,"Sleep Talk"
2,"Sludge Bomb"
2,"Snore"
2,"Solar Beam"
2,"Strength"
2,"String Shot"
2,"Substitute"
2,"Sunny Day"
2,"Swagger"
2,"Sweet Scent"
2,"Swords Dance"
2,"Synthesis"
2,"Tackle"
2,"Take Down"
2,"Toxic"
2,"Vine Whip"
2,"Weather Ball"
3,"Amnesia"
3,"Attract"
3,"Bide"
3,"Bind"
