Location,NDex#,Method,MinLevel,MaxLevel,EncounterRate
"Abandoned Ship",72,"Surf",5,35,99
"Abandoned Ship",73,"Surf",30,35,1
"Abandoned Ship",72,"Fish Old",5,10,30
"Abandoned Ship",129,"Fish Old",5,10,70
"Abandoned Ship",72,"Fish Good",10,30,40
"Abandoned Ship",129,"Fish Good",10,30,60
"Abandoned Ship",72,"Fish Super",25,35,80
"Abandoned Ship",73,"Fish Super",20,35,20
"Altering Cave",41,"Cave",6,16,100
"Altering Cave",179,"Cave",3,13,100
"Altering Cave",190,"Cave",18,28,100
"Altering Cave",204,"Cave",19,29,100
"Altering Cave",213,"Cave",18,28,100
"Altering Cave",216,"Cave",18,28,100
"Altering Cave",228,"Cave",12,20,100
"Altering Cave",234,"Cave",18,28,100
"Altering Cave",235,"Cave",18,28,100
"Ancient Tomb",379,"Special",40,40,NULL
"Artisan Cave",235,"Cave",40,50,100
"Birth Island",386,Aurora,30,30,NULL
"Cave of Origin",41,"Cave",28,35,90
"Cave of Origin",42,"Cave",33,36,10
"Cave of Origin",41,"Cave",30,34,60
"Cave of Origin",42,"Cave",33,36,10
"Cave of Origin",302,"Cave",30,34,30
"Desert Ruins",377,"Special",40,40,NULL
"Desert Underpass",132,"Cave",38, 40,43
"Desert Underpass",293,"Cave",35,36, 38
"Desert Underpass",294,"Cave",38,44,16
"Dewford Town",72,"Surf",5,35,60
"Dewford Town",278,"Surf",10,30,35
"Dewford Town",279,"Surf",25,30,5
"Dewford Town",72,"Fish Old",5,10,30
"Dewford Town",129,"Fish Old",5,10,70
"Dewford Town",72,"Fish Good",10,30,20
"Dewford Town",129,"Fish Good",10,30,60
"Dewford Town",320,"Fish Good",10,30,20
"Dewford Town",320,"Fish Super",20,45,100
"Ever Grande City",72,"Surf",5,35,60
"Ever Grande City",278,"Surf",10,30,35
"Ever Grande City",279,"Surf",25,30,5
"Ever Grande City",72,"Fish Old",5,10,30
"Ever Grande City",129,"Fish Old",5,10,70
"Ever Grande City",129,"Fish Good",10,30,60
"Ever Grande City",320,"Fish Good",10,30,20
"Ever Grande City",370,"Fish Good",10,30,20
"Ever Grande City",222,"Fish Super",30,35,15
"Ever Grande City",320,"Fish Super",30,45,45
"Ever Grande City",370,"Fish Super",30,35,40
"Fiery Path",66,"Cave",15,16,15
"Fiery Path",88,"Cave",14,14,2
"Fiery Path",109,"Cave",15,16,25
"Fiery Path",218,"Cave",15,15,10
"Fiery Path",322,"Cave",15,16,30
"Fiery Path",324,"Cave",14,16,18
