NDex#,name,HP,Atk,Def,SpA,SpD,Spe,height,weight
1,"Bulbasaur",45,49,49,65,65,45,0.7,6.9
2,"Ivysaur",60,62,63,80,80,60,1,13
3,"Venusaur",80,82,83,100,100,80,2,100
4,"Charmander",39,52,43,60,50,65,0.6,8.5
5,"Charmeleon",58,64,58,80,65,80,1.1,19
6,"Charizard",78,84,78,109,85,100,1.7,90.5
7,"Squirtle",44,48,65,50,64,43,0.5,9
8,"Wartortle",59,63,80,65,80,58,1,22.5
9,"Blastoise",79,83,100,85,105,78,1.6,85.5
10,"Caterpie",45,30,35,20,20,45,0.3,2.9
11,"Metapod",50,20,55,25,25,30,0.7,9.9
12,"Butterfree",60,45,50,90,80,70,1.1,32
13,"Weedle",40,35,30,20,20,50,0.3,3.2
14,"Kakuna",45,25,50,25,25,35,0.6,10
15,"Beedrill",65,90,40,45,80,75,1,29.5
16,"Pidgey",40,45,40,35,35,56,0.3,1.8
17,"Pidgeotto",63,60,55,50,50,71,1.1,30
18,"Pidgeot",83,80,75,70,70,101,1.5,39.5
19,"Rattata",30,56,35,25,35,72,0.3,3.5
20,"Raticate",55,81,60,50,70,97,0.7,18.5
21,"Spearow",40,60,30,31,31,70,0.3,2
22,"Fearow",65,90,65,61,61,100,1.2,38
23,"Ekans",35,60,44,40,54,55,2,6.9
24,"Arbok",60,95,69,65,79,80,3.5,65
25,"Pikachu",35,55,40,50,50,90,0.4,6
26,"Raichu",60,90,55,90,80,110,0.8,30
27,"Sandshrew",50,75,85,20,30,40,0.6,12
28,"Sandslash",75,100,110,45,55,65,1,29.5
29,"Nidoran-F",55,47,52,40,40,41,0.4,7
30,"Nidorina",70,62,67,55,55,56,0.8,20
31,"Nidoqueen",90,92,87,75,85,76,1.3,60
32,"Nidoran-M",46,57,40,40,40,50,0.5,9
33,"Nidorino",61,72,57,55,55,65,0.9,19.5
34,"Nidoking",81,102,77,85,75,85,1.4,62
35,"Clefairy",70,45,48,60,65,35,0.6,7.5
36,"Clefable",95,70,73,95,90,60,1.3,40
37,"Vulpix",38,41,40,50,65,65,0.6,9.9
38,"Ninetales",73,76,75,81,100,100,1.1,19.9
39,"Jigglypuff",115,45,20,45,25,20,0.5,5.5
40,"Wigglytuff",140,70,45,85,50,45,1,12
41,"Zubat",40,45,35,30,40,55,0.8,7.5
42,"Golbat",75,80,70,65,75,90,1.6,55
43,"Oddish",45,50,55,75,65,30,0.5,5.4
44,"Gloom",60,65,70,85,75,40,0.8,8.6
45,"Vileplume",75,80,85,110,90,50,1.2,18.6
46,"Paras",35,70,55,45,55,25,0.3,5.4
47,"Parasect",60,95,80,60,80,30,1,29.5
48,"Venonat",60,55,50,40,55,45,1,30
49,"Venomoth",70,65,60,90,75,90,1.5,12.5
50,"Diglett",10,55,25,35,45,95,0.2,0.8
51,"Dugtrio",35,100,50,50,70,120,0.7,33.3
52,"Meowth",40,45,35,40,40,90,0.4,4.2
53,"Persian",65,70,60,65,65,115,1,32
54,"Psyduck",50,52,48,65,50,55,0.8,19.6
55,"Golduck",80,82,78,95,80,85,1.7,76.6
56,"Mankey",40,80,35,35,45,70,0.5,28
57,"Primeape",65,105,60,60,70,95,1,32
58,"Growlithe",55,70,45,70,50,60,0.7,19
59,"Arcanine",90,110,80,100,80,95,1.9,155
60,"Poliwag",40,50,40,40,40,90,0.6,12.4
61,"Poliwhirl",65,65,65,50,50,90,1,20
62,"Poliwrath",90,95,95,70,90,70,1.3,54
63,"Abra",25,20,15,105,55,90,0.9,19.5
64,"Kadabra",40,35,30,120,70,105,1.3,56.5
65,"Alakazam",55,50,45,135,95,120,1.5,48
66,"Machop",70,80,50,35,35,35,0.8,19.5
67,"Machoke",80,100,70,50,60,45,1.5,70.5
68,"Machamp",90,130,80,65,85,55,1.6,130
69,"Bellsprout",50,75,35,70,30,40,0.7,4
70,"Weepinbell",65,90,50,85,45,55,1,6.4
71,"Victreebel",80,105,65,100,70,70,1.7,15.5
72,"Tentacool",40,40,35,50,100,70,0.9,45.5
73,"Tentacruel",80,70,65,80,120,100,1.6,55
74,"Geodude",40,80,100,30,30,20,0.4,20
75,"Graveler",55,95,115,45,45,35,1,105
76,"Golem",80,120,130,55,65,45,1.4,300
77,"Ponyta",50,85,55,65,65,90,1,30
78,"Rapidash",65,100,70,80,80,105,1.7,95
79,"Slowpoke",90,65,65,40,40,15,1.2,36
80,"Slowbro",95,75,110,100,80,30,1.6,78.5
81,"Magnemite",25,35,70,95,55,45,0.3,6
82,"Magneton",50,60,95,120,70,70,1,60
83,"Farfetch\u2019d",52,90,55,58,62,60,0.8,15
84,"Doduo",35,85,45,35,35,75,1.4,39.2
85,"Dodrio",60,110,70,60,60,110,1.8,85.2
86,"Seel",65,45,55,45,70,45,1.1,90
87,"Dewgong",90,70,80,70,95,70,1.7,120
88,"Grimer",80,80,50,40,50,25,0.9,30
89,"Muk",105,105,75,65,100,50,1.2,30
90,"Shellder",30,65,100,45,25,40,0.3,4
91,"Cloyster",50,95,180,85,45,70,1.5,132.5
92,"Gastly",30,35,30,100,35,80,1.3,0.1
93,"Haunter",45,50,45,115,55,95,1.6,0.1
94,"Gengar",60,65,60,130,75,110,1.5,40.5
95,"Onix",35,45,160,30,45,70,8.8,210
96,"Drowzee",60,48,45,43,90,42,1,32.4
97,"Hypno",85,73,70,73,115,67,1.6,75.6
98,"Krabby",30,105,90,25,25,50,0.4,6.5
99,"Kingler",55,130,115,50,50,75,1.3,60
100,"Voltorb",40,30,50,55,55,100,0.5,10.4
101,"Electrode",60,50,70,80,80,150,1.2,66.6
102,"Exeggcute",60,40,80,60,45,40,0.4,2.5
103,"Exeggutor",95,95,85,125,75,55,2,120
104,"Cubone",50,50,95,40,50,35,0.4,6.5
105,"Marowak",60,80,110,50,80,45,1,45
106,"Hitmonlee",50,120,53,35,110,87,1.5,49.8
107,"Hitmonchan",50,105,79,35,110,76,1.4,50.2
108,"Lickitung",90,55,75,60,75,30,1.2,65.5
109,"Koffing",40,65,95,60,45,35,0.6,1
110,"Weezing",65,90,120,85,70,60,1.2,9.5
